"codigo","id_pop","crm","clasificacion_sitio","categoria_planificacion","sistema_energia","pe_3g","mpls","olt","olt_3play","core","panel_solar","latitud","longitud"
ESTVA015,1504,Centro,B1,nan,ONGRID,NO,SI,SI,SI,NO,NO,-33.579622,-71.612537
VR251,1505,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.8375,-71.1034
VR246,1506,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.004439,-71.151749
VA762,1507,Centro,B1,B+,ONGRID,SI,SI,NO,NO,NO,NO,-32.98394,-71.19386
ZV236,1508,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.7907341,-71.1923871
ZV237,1509,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.7565,-70.7028001
ZV238,1510,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.9983334,-71.5136112
FN754,1511,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.381778,-70.84725
FN404,1512,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.768861,-70.834611
VR238,1513,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.841263,-70.689486
VA790,1514,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.509934,-71.451603
VA092,1515,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.046847,-71.615428
VR341,1516,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.640282,-71.393454
VR363,1517,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.626556,-71.22625
VR702,1518,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.903625,-71.258983
VR547,1519,Centro,B2,C,ONGRID,NO,SI,NO,NO,NO,NO,-33.04858,-71.34042
VA720,1520,Centro,C,C,ONGRID,NO,SI,NO,NO,NO,NO,-33.164444,-71.542822
VA981,1521,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.901977,-70.238933
VA979,1522,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.246769,-70.936022
CO757,1523,Norte,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.161944,-71.494722
VA533,1524,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.864444,-70.146111
VA066,1525,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.21867,-71.48061
VR675,1526,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.068889,-71.582278
VA782,1528,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.929811,-71.543639
VA784,1529,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.028815,-71.639085
VA876,1530,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.039106,-71.645797
RV233,1531,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.053889,-71.644722
ZV073,1532,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.64126,-71.634558
ZV035,1533,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.043833,-71.623944
VA924,1534,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.038851,-71.628461
VR661,1535,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.033877,-71.531657
VA767,1536,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.041258,-71.625058
VA322,1537,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.983477,-71.545003
VA064,1538,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.840686,-70.133367
VA057,1539,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.049886,-71.647544
VR660,1540,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.0474,-71.652197
VA070,1541,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.910889,-70.325861
ZV146,1542,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.034333,-71.3741667
VA977,1543,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.737369,-71.402581
VR352,1544,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.91194,-71.723755
VR054,1545,Centro,C,C,ONGRID,NO,SI,NO,NO,NO,NO,-32.837528,-70.545613
VR000,1546,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.034415,-71.630174
VA321,1547,Centro,C,C,ONGRID,NO,SI,NO,NO,NO,NO,-32.631961,-70.705908
RV544,1548,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.052583,-71.317111
FN416,1549,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.473972,-71.258306
SWQUB01,1550,Centro,A,nan,ONGRID,NO,NO,NO,NO,SI,NO,-32.883599,-71.251092
VA317,1551,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.886558,-71.251817
VR258,1552,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.89414,-71.25247
VR333,1553,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.868347,-71.273705
VR700,1554,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.876667,-71.253222
ESTVA046,1555,Centro,B1,C,ONGRID,SI,NO,NO,SI,NO,NO,-33.049523,-71.426889
VA879,1556,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.047165,-71.441337
VR543,1557,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.071892,-71.430133
VR544,1558,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.030974,-71.435959
VR690,1559,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.034732,-71.44594
VR541,1560,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.061283,-71.446722
VA488,1561,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.0373,-71.456083
VR542,1562,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.042509,-71.472052
VA835,1563,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.446683,-71.32953
VA108,1564,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.0272,-71.5505
VA854,1565,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.206053,-71.662747
VR249,1566,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.191246,-71.687412
VA954,1567,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.772159,-71.535504
ESTVA031,1568,Centro,B2,nan,ONGRID,NO,SI,NO,NO,NO,NO,-32.780614,-71.527224
VA946,1569,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.821677,-71.48038
VR551,1570,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.791836,-71.539806
ESTVA047,1571,Centro,B2,nan,ONGRID,NO,NO,NO,NO,NO,NO,-33.2939087,-70.6564678
VA395,1572,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.929592,-71.735619
VR244,1573,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.773611,-71.564577
ZB076,1574,Sur,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-36.792159,-73.071638
VA783,1575,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.972222,-71.521944
VR015,1576,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.997787,-71.485385
VA965,1577,Centro,B1,C,ONGRID,NO,SI,NO,SI,NO,NO,-32.96721,-71.543286
ONUVA002,1578,Centro,B2,nan,ONGRID,NO,NO,NO,NO,NO,NO,-32.970198,-71.540001
VA058,1579,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.971244,-71.544025
VR286,1580,Centro,C,C,ONGRID,NO,NO,NO,SI,NO,NO,-32.96475,-71.535917
ZA157,6277,Norte,D,C,ONGRID,NO,NO,NO,NO,NO,,-22.313924,-68.861996
ZV076,1581,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.969833,-71.54483
VR242,1582,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.87603,-70.67003
VR378,1583,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.664158,-70.691597
VR680,1584,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.069556,-71.534389
VR282,1585,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.013361,-71.550083
RV388,1586,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.641388,-78.832792
VR374,1587,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.645772,-71.611656
VR540,1588,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.662319,-71.620708
ESTVA045,1589,Centro,B2,nan,ONGRID,NO,NO,NO,NO,NO,NO,-33.3039087,-70.6564678
VA819,1590,Centro,C,C,ONGRID,NO,SI,NO,NO,NO,NO,-32.918556,-71.481389
RP362,1591,Centro,D,nan,ONGRID,NO,NO,NO,NO,NO,NO,-33.564778,-71.562361
RP363,1592,Centro,D,nan,ONGRID,NO,NO,NO,NO,NO,NO,-32.921722,-71.28375
FN396,1593,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.285583,-71.465778
VR557,1594,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.727222,-71.584021
VR296,1595,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.691256,-71.588264
VR552,1596,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.795083,-71.496278
VR588,1597,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.79861,-71.61208
ZV016,1598,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.889806,-70.521917
VR516,1599,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.402292,-70.926547
VA855,1600,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.275858,-71.0234
ZV015,1601,Centro,D,C,OFFGRID,NO,NO,NO,NO,NO,NO,-32.5659,-70.843299
VR263,1602,Centro,C,C,ONGRID,NO,SI,NO,NO,NO,NO,-33.35845,-71.399682
RPL006,5744752,Austral,B2,nan,ONGRID,NO,NO,NO,NO,NO,NO,-33.444411,-70.655925
RV252,1603,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.596404,-71.382036
VR570,1604,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.873622,-71.453158
VR583,1606,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.424724,-71.659572
VR556,1607,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.429972,-71.637139
VA060,1608,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.783994,-71.15164
VA747,1609,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.413539,-71.482836
ZV014,1610,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.479417,-71.113139
VR558,1611,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.5175,-71.5943
VA975,1612,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.65265,-71.50375
VA852,1613,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.811134,-70.857016
VA749,1614,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.183908,-71.360061
VR259,1615,Centro,C,C,ONGRID,NO,SI,NO,NO,NO,NO,-33.111676,-71.362049
VR585,1616,Centro,B1,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.587083,-71.426722
VR561,1617,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.464171,-71.448729
VR560,1618,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.386117,-71.418726
VR582,1619,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.337503,-71.610956
RV524,1620,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.764167,-71.3
RV099,1621,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.460017,-71.354254
VR580,1622,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.203338,-71.61623
VR550,1624,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.568333,-71.622778
VR586,1625,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.695556,-70.604306
VR260,1626,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.039178,-71.3076
VR577,1627,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.243059,-71.650677
VR572,1628,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.797002,-71.42906
VR044,1629,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.50364,-71.463548
VR045,1630,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.519458,-71.458705
RV894,1632,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.362222,-71.658889
SWLLO,1633,Centro,A,nan,ONGRID,NO,SI,NO,NO,SI,NO,-33.592281,-71.605512
VR482,1634,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.599981,-71.614901
VR335,1635,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.600128,-71.594917
VR710,1636,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.587222,-71.598889
VR703,1637,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.571039,-71.600397
VR704,1638,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.599564,-71.607383
ESTAT003,21,Norte,A,nan,OFFGRID,NO,NO,NO,NO,SI,,-27.369939,-70.335712
VR705,1639,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.607535,-71.617763
VR709,1640,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.625,-71.598463
RV007,1641,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.593928,-71.612462
VR587,1642,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.8,-70.5823
VR536,1643,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.741194,-70.730972
VR535,1644,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.737917,-70.717333
VR537,1645,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.757139,-70.715458
VR711,1646,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.73697,-70.726175
ZV062,1647,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.751278,-70.726278
VR612,1648,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.758028,-70.47575
ESTVA032,1649,Centro,B2,nan,ONGRID,NO,SI,NO,NO,NO,NO,-33.62502,-71.601691
RV528,1650,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.639528,-71.556305
FN409,1651,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.435222,-70.995972
ZV142,1652,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.047694,-71.3723889
FN400,1653,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.919528,-71.271333
ZV171,1654,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.528528,-71.5995562
VR509,1655,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.523181,-71.533306
FN417,1656,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.344667,-71.180222
VA759,1657,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.645504,-71.628589
VA902,1659,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.0212221,-71.5679719
VA765,1660,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.014896,-71.54064
VR281,1661,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.020278,-71.540806
VR683,1662,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.007028,-71.527917
VR684,1663,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.014069,-71.522275
VR499,1664,Centro,B1,C,ONGRID,NO,NO,NO,SI,NO,NO,-33.055438,-71.595903
ZV050,1665,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.8330555,-70.598889
ZV048,1666,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.87987,-71.246803
ZV049,1668,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.751389,-70.7227779
